2019-04-07 18:44:02 status half-installed login:i386 1:4.4-4.1
2019-04-07 18:44:11 status unpacked login:i386 1:4.4-4.1
2019-04-07 18:44:11 status unpacked login:i386 1:4.4-4.1
2019-04-07 18:44:11 install passwd:i386 <none> 1:4.4-4.1
2019-04-07 18:44:11 status half-installed passwd:i386 1:4.4-4.1
2019-04-07 18:44:32 status unpacked passwd:i386 1:4.4-4.1
2019-04-07 18:44:32 status unpacked passwd:i386 1:4.4-4.1
2019-04-07 18:44:32 install libsystemd0:i386 <none> 232-25+deb9u8
2019-04-07 18:44:32 status half-installed libsystemd0:i386 232-25+deb9u8
2019-04-07 18:44:33 status unpacked libsystemd0:i386 232-25+deb9u8
2019-04-07 18:44:33 status unpacked libsystemd0:i386 232-25+deb9u8
2019-04-07 18:44:34 install libudev1:i386 <none> 232-25+deb9u8
2019-04-07 18:44:34 status half-installed libudev1:i386 232-25+deb9u8
2019-04-07 18:44:35 status unpacked libudev1:i386 232-25+deb9u8
2019-04-07 18:44:35 status unpacked libudev1:i386 232-25+deb9u8
2019-04-07 18:44:36 install sysvinit-utils:i386 <none> 2.88dsf-59.9
2019-04-07 18:44:36 status half-installed sysvinit-utils:i386 2.88dsf-59.9
2019-04-07 18:44:37 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2019-04-07 18:44:37 status unpacked sysvinit-utils:i386 2.88dsf-59.9
2019-04-07 18:44:38 install tar:i386 <none> 1.29b-1.1
2019-04-07 18:44:38 status half-installed tar:i386 1.29b-1.1
2019-04-07 18:44:41 status unpacked tar:i386 1.29b-1.1
2019-04-07 18:44:42 status unpacked tar:i386 1.29b-1.1
2019-04-07 18:44:42 install tzdata:all <none> 2018i-0+deb9u1
2019-04-07 18:44:42 status half-installed tzdata:all 2018i-0+deb9u1
2019-04-07 18:44:50 status unpacked tzdata:all 2018i-0+deb9u1
2019-04-07 18:44:50 status unpacked tzdata:all 2018i-0+deb9u1
2019-04-07 18:44:51 install libustr-1.0-1:i386 <none> 1.0.4-6
2019-04-07 18:44:51 status half-installed libustr-1.0-1:i386 1.0.4-6
2019-04-07 18:44:52 status unpacked libustr-1.0-1:i386 1.0.4-6
2019-04-07 18:44:52 status unpacked libustr-1.0-1:i386 1.0.4-6
2019-04-07 18:44:53 install bsdutils:i386 <none> 1:2.29.2-1+deb9u1
2019-04-07 18:44:53 status half-installed bsdutils:i386 1:2.29.2-1+deb9u1
2019-04-07 18:44:55 status unpacked bsdutils:i386 1:2.29.2-1+deb9u1
2019-04-07 18:44:55 status unpacked bsdutils:i386 1:2.29.2-1+deb9u1
2019-04-07 18:44:55 install libblkid1:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:44:55 status half-installed libblkid1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:56 status unpacked libblkid1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:57 status unpacked libblkid1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:57 install libfdisk1:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:44:57 status half-installed libfdisk1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:59 status unpacked libfdisk1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:59 status unpacked libfdisk1:i386 2.29.2-1+deb9u1
2019-04-07 18:44:59 install libmount1:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:44:59 status half-installed libmount1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:01 status unpacked libmount1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:01 status unpacked libmount1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:02 install libsmartcols1:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:45:02 status half-installed libsmartcols1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:03 status unpacked libsmartcols1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:03 status unpacked libsmartcols1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:03 install libuuid1:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:45:03 status half-installed libuuid1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:04 status unpacked libuuid1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:04 status unpacked libuuid1:i386 2.29.2-1+deb9u1
2019-04-07 18:45:05 install mount:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:45:05 status half-installed mount:i386 2.29.2-1+deb9u1
2019-04-07 18:45:07 status unpacked mount:i386 2.29.2-1+deb9u1
2019-04-07 18:45:07 status unpacked mount:i386 2.29.2-1+deb9u1
2019-04-07 18:45:08 install util-linux:i386 <none> 2.29.2-1+deb9u1
2019-04-07 18:45:08 status half-installed util-linux:i386 2.29.2-1+deb9u1
2019-04-07 18:45:25 status unpacked util-linux:i386 2.29.2-1+deb9u1
2019-04-07 18:45:25 status unpacked util-linux:i386 2.29.2-1+deb9u1
2019-04-07 18:45:25 install liblzma5:i386 <none> 5.2.2-1.2+b1
2019-04-07 18:45:25 status half-installed liblzma5:i386 5.2.2-1.2+b1
2019-04-07 18:45:27 status unpacked liblzma5:i386 5.2.2-1.2+b1
2019-04-07 18:45:27 status unpacked liblzma5:i386 5.2.2-1.2+b1
2019-04-07 18:45:28 install zlib1g:i386 <none> 1:1.2.8.dfsg-5
2019-04-07 18:45:28 status half-installed zlib1g:i386 1:1.2.8.dfsg-5
2019-04-07 18:45:29 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2019-04-07 18:45:29 status unpacked zlib1g:i386 1:1.2.8.dfsg-5
2019-04-07 18:45:30 startup packages configure
2019-04-07 18:45:30 configure gcc-6-base:i386 6.3.0-18+deb9u1 <none>
2019-04-07 18:45:30 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:45:31 status half-configured gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:45:31 status installed gcc-6-base:i386 6.3.0-18+deb9u1
2019-04-07 18:45:32 configure lsb-base:all 9.20161125 <none>
2019-04-07 18:45:32 status unpacked lsb-base:all 9.20161125
2019-04-07 18:45:32 status half-configured lsb-base:all 9.20161125
2019-04-07 18:45:32 status installed lsb-base:all 9.20161125
2019-04-07 18:45:32 configure sensible-utils:all 0.0.9+deb9u1 <none>
2019-04-07 18:45:32 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:45:33 status half-configured sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:45:33 status installed sensible-utils:all 0.0.9+deb9u1
2019-04-07 18:45:33 configure ncurses-base:all 6.0+20161126-1+deb9u2 <none>
